1.000000000000000000e+04 2.567489268552968745e-15
1.266380173467403438e+04 1.453429171599033661e-15
1.603718743751330112e+04 8.197675372664958472e-16
2.030917620904735668e+04 4.576401438706739766e-16
2.571913809059344567e+04 2.509130740790108661e-16
3.257020655659782642e+04 1.342563015258110523e-16
4.124626382901352190e+04 6.972123459419590016e-17
5.223345074266843585e+04 3.474958097510647147e-17
6.614740641230148321e+04 1.614371908385693093e-17
8.376776400682915119e+04 6.645769233332059806e-18
1.060818355139448249e+05 2.270472136100619071e-18
1.343399332598900073e+05 5.978026668705021714e-19
1.701254279852589243e+05 1.129380679154090174e-19
2.154434690031883365e+05 1.448686990244021596e-20
2.728333376486767665e+05 1.250645666305476522e-21
3.455107294592218241e+05 7.804200226595366493e-23
4.375479375074184500e+05 4.097127514479505624e-24
5.541020330009491881e+05 2.184351182416252352e-25
7.017038286703826161e+05 1.361379696803625837e-26
8.886238162743402645e+05 9.485796040660600399e-28
1.125335582600764465e+06 5.665150053154743474e-29
1.425102670302997809e+06 2.242564815531694837e-30
1.804721766827170271e+06 4.646807222502068487e-32
2.285463864134990610e+06 3.399711775013978621e-34
2.894266124716751743e+06 3.063892164162584637e-37
3.665241237079625949e+06 1.244583139712245502e-42
4.641588833612777293e+06 1.263296387480989644e-53
5.878016072274912149e+06 1.092331780634357568e-75
7.443803013251688331e+06 1.691283979966424796e-116
9.426684551178853959e+06 8.790066619557284410e-186
1.193776641714435816e+07 4.914515139048783933e-294
1.511775070615661517e+07 0.000000000000000000e+00
1.914481976169957593e+07 0.000000000000000000e+00
2.424462017082328349e+07 0.000000000000000000e+00
3.070290629757849872e+07 0.000000000000000000e+00
3.888155180308085680e+07 0.000000000000000000e+00
4.923882631706736237e+07 0.000000000000000000e+00
6.235507341273912042e+07 0.000000000000000000e+00
7.896522868499724567e+07 0.000000000000000000e+00
1.000000000000000000e+08 0.000000000000000000e+00
